ID,Gender,DevTyp,WBC,LYMp,MONp,NEUp,EOSp,BASOp,LYMn,MONn,NEUn,EOSn,BASOn,RBC,HGB,HCT,MCV,MCH,MCHC,RDWSD,RDWCV,PLT,MPV,PDW,PCT,PLCR,PLCC
1,1.0,1.0,10.29,41.01,7.52,44.29,6.78,0.4,4.22,0.774,4.557,0.698,0.041,4.89,13.6,36.2,74.0,27.8,38.0,41.4,11.5,374.0,6.5,5.0,0.24,7.57,28.0
2,1.0,1.0,15.47,72.64,4.04,20.72,1.98,0.62,11.237,0.625,3.205,0.306,0.096,4.68,8.7,31.2,66.6,18.6,28.0,50.6,16.8,177.0,9.3,30.0,0.17,68.76,122.0
3,1.0,2.0,47.18,77.58,1.53,13.91,6.71,0.27,36.6,0.72,6.56,3.17,0.13,5.72,15.72,51.1,89.3,27.5,30.8,47.5,13.3,221.7,8.9,18.9,0.2,409.0,708.9903972146336
4,0.0,2.0,4.45,20.44,19.67,44.91,14.49,0.49,0.91,0.88,2.0,0.64,0.02,3.57,10.61,31.1,87.1,29.7,34.1,48.8,14.0,126.3,11.1,18.7,0.14,61.9,77.5893053224305
5,1.0,1.0,4.55,45.35,8.32,44.69,1.1,0.54,2.063,0.379,2.033,0.05,0.025,2.96,8.1,27.0,91.9,27.4,30.0,57.5,16.6,46.0,8.5,6.1,0.04,29.16,13.0
6,0.0,2.0,6.67,35.6,6.49,255.69,0.13,0.09,2.37,0.43,3.72,0.14,0.01,3.57,11.08,32.6,91.3,31.0,34.0,64.6,17.7,202.9,9.1,18.9,0.18,42.1,108.72455631491098
7,0.0,1.0,3.58,48.76,5.06,44.8,0.88,0.5,1.746,0.181,1.604,0.032,0.018,4.99,11.5,38.1,76.3,23.0,30.0,44.8,15.2,81.0,7.4,30.0,0.06,69.1,56.0
8,0.0,1.0,2.71,45.46,13.77,33.06,7.26,0.45,1.232,0.373,0.896,0.197,0.012,3.71,9.8,32.2,86.8,26.4,30.0,43.7,12.8,107.0,8.1,6.1,0.09,22.03,24.0
9,1.0,2.0,11.23,93.16,1.75,4.36,0.38,0.35,10.46,0.2,0.49,0.04,0.04,4.16,8.41,30.5,73.3,20.2,27.6,60.1,20.5,169.5,12.6,15.5,0.21,75.4,132.79216695766502
10,0.0,2.0,25.78,3.17,10.23,84.27,2.19,0.14,0.82,2.64,21.72,0.56,0.04,3.53,10.13,28.2,79.9,28.7,35.9,14.3,45.7,182.3,11.0,19.6,0.2,58.8,71.05811986458218
11,0.0,1.0,5.28,92.17,2.92,4.51,0.26,0.14,4.867,0.154,0.238,0.014,0.007,2.76,8.4,27.2,98.5,30.5,31.0,58.7,13.9,34.0,8.4,4.7,0.03,20.45,7.0
12,0.0,1.0,6.94,42.76,6.27,47.88,2.56,0.53,2.968,0.435,3.323,0.178,0.037,4.63,12.4,40.4,87.1,26.8,31.0,40.2,121.0,254.0,8.3,6.8,0.21,19.64,50.0
13,0.0,1.0,8.19,16.16,6.66,73.75,3.27,0.16,1.324,0.545,6.04,0.268,0.013,4.85,8.6,30.4,62.7,17.7,28.0,38.0,15.1,232.0,7.4,6.5,0.17,47.86,111.0
14,0.0,1.0,8.83,28.85,7.03,62.1,1.74,0.82,2.547,0.621,5.483,0.154,0.025,2.79,8.0,25.9,92.8,28.7,31.0,44.8,11.9,51.0,9.4,4.7,0.05,27.96,14.0
15,1.0,1.0,11.47,11.35,3.82,80.72,0.18,1.302,0.438,9.622,0.087,0.021,3.31,8.1,26.3,26.3,79.5,24.5,24.5,31.0,48.3,15.9,274.0,6.1,4.3,0.17,13.14
16,0.0,1.0,3.65,15.11,10.5,73.81,0.31,0.27,0.552,0.383,2.694,0.011,0.1,3.17,9.0,28.2,88.9,28.4,32.0,49.5,14.2,140.0,8.7,8.6,0.12,37.49,52.0
17,0.0,2.0,14.02,13.85,5.98,79.07,0.18,0.92,1.94,0.84,11.08,0.03,0.13,1.72,4.77,15.4,89.5,27.7,31.0,48.0,13.4,104.5,9.3,19.2,0.1,45.0,46.84075614784687
18,0.0,2.0,7.83,35.08,5.4,58.52,0.15,0.85,2.75,0.42,4.58,0.01,0.07,4.47,8.56,29.6,66.2,19.1,28.9,51.1,19.3,419.0,9.4,18.4,0.39,47.2,141.0501920981153
19,1.0,2.0,6.14,22.17,16.49,57.59,1.91,1.84,1.36,1.01,3.54,0.12,0.11,3.19,11.48,31.1,79.5,29.4,36.9,43.6,13.7,9.3,10.163918270029653,17.180899002681322,0.5587721966993597,41.21534375519651,4.81909832500596
20,0.0,1.0,39.1,2.85,2.01,94.88,0.26,0.0,1.114,0.786,37.098,0.102,0.0,3.99,107.0,35.0,87.8,26.8,31.0,48.3,13.8,46.0,9.3,5.4,0.04,45.5,21.0
21,1.0,2.0,6.27,37.46,10.98,48.3,1.97,1.29,2.35,0.69,3.03,0.12,0.08,6.04,11.85,37.7,62.4,19.6,31.4,37.7,15.1,261.1,9.2,18.2,0.24,43.1,84.6754646490325
22,1.0,1.0,10.22,59.37,16.82,22.59,0.74,0.48,6.068,1.719,2.309,0.076,0.049,4.58,12.7,41.7,91.0,27.7,30.0,62.1,17.4,55.0,7.7,4.7,0.04,31.25,17.0
23,0.0,2.0,5.67,34.82,9.07,49.25,6.32,0.54,1.97,0.51,2.8,0.36,0.03,3.51,8.98,28.8,82.1,25.6,31.2,47.9,14.6,374.0,9.1,18.2,0.34,42.0,117.50331731885518
24,0.0,1.0,10.96,5.46,7.2,87.0,0.24,0.1,0.598,0.789,9.535,0.026,0.011,2.73,7.0,24.4,89.2,25.6,29.0,49.5,13.0,289.0,7.6,5.4,0.22,20.23,58.0
25,1.0,1.0,3.08,20.94,5.49,73.01,0.5,0.06,0.645,0.169,2.249,0.015,0.002,2.79,7.8,26.2,93.8,28.0,30.0,50.6,14.1,223.0,8.9,4.3,0.2,23.89,53.0
26,0.0,2.0,5.91,38.77,10.3,50.07,0.7,0.16,2.29,0.61,2.96,0.04,0.01,4.93,14.47,45.7,92.7,29.4,31.7,54.1,14.6,236.8,10.0,20.1,0.24,50.0,88.44683278804692
27,0.0,1.0,7.67,23.21,5.72,62.28,8.59,0.2,1.78,0.439,4.777,0.659,0.015,5.01,11.8,39.4,78.7,23.6,30.0,41.4,14.1,345.0,7.1,5.8,0.24,16.48,57.0
28,1.0,1.0,8.2,42.78,23.86,32.0,0.97,0.39,3.508,1.957,2.624,0.08,0.032,2.99,7.5,21.1,70.6,25.0,35.0,48.3,15.2,40.0,10.7,10.1,0.04,58.17,23.0
29,1.0,2.0,9.56,32.26,7.9,53.2,6.17,0.47,3.08,0.76,5.09,0.59,0.04,5.24,10.76,37.6,71.8,20.5,28.6,50.5,17.6,476.8,8.9,18.9,0.42,39.4,141.0437182634239
30,0.0,2.0,6.27,35.96,9.19,52.53,1.73,0.59,2.25,0.58,3.29,0.11,0.04,3.19,9.63,31.7,99.4,30.2,30.4,60.4,15.2,260.0,9.6,18.5,0.25,47.8,97.12671979530742
31,1.0,2.0,9.66,8.76,8.09,81.5,1.23,0.42,0.85,0.78,7.87,0.12,0.04,2.14,4.22,15.3,71.5,19.7,27.6,79.8,27.9,144.0,8.7,17.6,0.13,41.1,58.09969805422801
32,1.0,1.0,8.06,38.76,7.04,52.87,0.86,0.47,3.124,0.567,4.261,0.069,0.038,4.33,12.0,32.3,74.7,27.7,37.0,414.0,12.0,206.0,8.9,8.6,0.18,24.5,50.0
33,1.0,1.0,6.64,34.56,5.96,58.33,0.76,0.39,2.295,0.396,3.873,0.05,0.026,4.28,14.1,37.7,88.0,33.0,37.0,51.8,12.7,292.0,7.3,5.4,0.21,9.68,28.0
34,1.0,2.0,5.28,38.38,10.42,47.13,3.56,0.51,2.03,0.55,2.48,0.19,0.03,6.22,11.7,41.7,67.0,18.8,28.1,38.3,14.3,169.0,11.1,20.0,0.19,57.1,88.22237593701234
